,cpu,screen_size,ram,graphic_ram,hdd,ssd,prices,is_unified,company
192,Core i3,15.6,8,0.0,0,512,17900000,1,asus
193,Core i3,14.0,4,0.0,0,512,17889000,1,asus
194,Core i9,15.6,32,16.0,0,1000,136195000,0,asus
195,Core i5,15.6,16,4.0,0,512,40479000,0,asus
196,Ryzen 9,16.0,64,16.0,0,4000,344979000,0,asus
197,Core i3,15.6,4,0.0,0,256,14479000,1,lenovo
198,Core i5,17.3,8,4.0,0,512,45633000,0,msi
199,Core i5,15.6,32,4.0,0,1000,40956000,0,asus
200,Core i5,12.4,16,0.0,0,256,34500000,1,microsoft
201,Ryzen 7,15.6,16,4.0,0,1000,32800000,0,acer
202,M2,13.3,8,0.0,0,512,100000,1,apple
203,Core i5,15.6,8,4.0,0,512,40770000,0,asus
204,Core i5,15.6,16,4.0,0,1000,41889000,0,acer
205,Core i7,15.6,16,8.0,0,512,67800000,0,asus
206,Ryzen 7,15.6,12,2.0,1000,256,23400000,0,lenovo
209,Core i7,15.0,8,6.0,0,512,46990000,0,hp
210,Core i5,16.1,16,4.0,0,512,40900000,0,hp
211,Core i9,15.6,16,6.0,0,1000,66950000,0,asus
212,M1,14.0,16,0.0,0,1000,94000000,1,apple
214,Core i7,15.6,16,6.0,0,512,62500000,0,acer
216,Core i7,15.6,8,2.0,0,512,32000000,0,asus
217,Core i5,15.6,16,4.0,1000,1000,36867000,0,lenovo
218,Core i7,14.0,256,2.0,256,256,10700000,0,other
219,Ryzen 5,15.6,16,4.0,0,512,40155000,0,lenovo
220,M2,13.6,8,0.0,0,512,69899000,1,apple
221,Ryzen 5,15.6,12,4.0,512,512,16990000,0,lenovo
222,Core i7,15.6,16,6.0,0,512,46490000,0,lenovo
224,Core i9,16.0,32,12.0,0,1000,171499000,0,lenovo
225,Core i7,14.5,12,4.0,0,512,47890000,0,asus
226,Core i5,15.6,8,2.0,1000,512,21800000,0,lenovo
227,Core i7,13.5,16,0.0,0,256,14500000,1,microsoft
228,Core i7,15.6,16,2.0,0,512,34700000,0,asus
229,Core i7,13.5,16,2.0,0,512,31200000,0,microsoft
230,Core i7,15.6,12,2.0,1000,256,28864000,0,asus
231,Core i9,15.6,16,6.0,0,512,75891000,0,asus
232,Ryzen 7,15.6,16,4.0,1000,512,38891000,0,lenovo
233,Core i5,15.6,8,4.0,0,512,25500000,0,hp
234,Core i7,15.6,32,4.0,0,1000,53390000,0,acer
235,M2,13.6,8,0.0,0,512,70499000,1,apple
236,Ryzen 7,15.6,16,6.0,0,1000,41890000,0,lenovo
238,Ryzen 7,15.6,8,4.0,0,512,43690000,0,asus
239,Core i5,16.0,8,0.0,0,512,26979000,1,asus
240,Core i7,15.0,16,0.0,0,512,29900000,1,microsoft
241,Core i5,15.6,8,2.0,1000,128,21898000,0,lenovo
242,Ryzen 7,16.0,32,6.0,0,1000,62688820,0,lenovo
243,Ryzen 7,17.3,16,6.0,0,1000,66500000,0,asus
244,Core i7,15.6,8,4.0,0,512,46200000,0,asus
245,Core i5,15.6,16,4.0,0,512,34300000,0,hp
246,Core i7,17.3,16,0.0,0,1000,46350000,1,asus
247,Celeron,15.6,4,0.0,0,256,8700000,1,lenovo
248,Core i3,14.0,8,0.0,0,512,25643000,1,msi
249,Core i7,15.6,32,4.0,0,512,27400000,0,hp
252,Ryzen 7,15.6,16,8.0,0,1000,75600000,0,asus
253,Core i5,13.5,8,0.0,0,256,48889000,1,microsoft
254,Core i3,15.6,4,0.0,0,256,17950000,1,asus
255,Core i5,16.0,16,0.0,0,512,27700000,1,asus
256,Core i7,15.6,16,4.0,0,512,53000000,0,asus
257,Core i3,15.6,8,0.0,0,512,14890000,1,lenovo
259,Core i7,13.5,16,0.0,0,256,76489000,1,microsoft
260,Ryzen 7,15.6,16,6.0,0,512,42469000,0,lenovo
261,Ryzen 5,15.6,16,4.0,1000,256,36990000,0,lenovo
262,Core i7,15.6,16,4.0,0,1000,52500000,0,msi
264,Core i7,15.6,16,6.0,0,1000,47790000,0,lenovo
265,M1,13.0,8,0.0,0,512,65400000,1,apple
266,Core i7,15.6,16,6.0,0,1000,74779000,0,asus
267,Core i5,14.0,8,0.0,256,256,14850000,1,lenovo
268,Ryzen 7,15.6,32,6.0,0,1000,56470000,0,lenovo
269,Core i7,13.5,16,0.0,0,512,69400000,1,microsoft
270,Ryzen 9,15.6,16,12.0,0,512,65090000,0,asus
271,Ryzen 7,15.6,8,4.0,0,512,47779000,0,asus
272,M2,13.6,16,0.0,0,1000,96700000,1,apple
273,Core i3,15.6,8,2.0,1000,128,15300000,0,lenovo
274,Core i7,15.6,16,0.0,0,512,30966000,1,asus
275,Core i9,15.6,32,8.0,0,1000,94998000,0,asus
276,Core i3,15.6,12,0.0,1000,256,14979000,1,lenovo
277,Core i7,16.1,16,6.0,0,512,59200000,0,hp
278,Core i5,15.6,8,4.0,0,512,33469000,0,lenovo
279,Core i7,16.0,16,4.0,0,1000,87690000,0,hp
280,Core i5,15.6,16,2.0,0,512,25870000,0,asus
281,Core i7,16.0,32,4.0,0,1000,50600000,0,hp
282,Core i5,15.6,16,4.0,0,512,40474000,0,asus
283,Ryzen 5,15.6,8,2.0,1000,256,18888820,0,lenovo
284,Core i7,15.6,8,2.0,0,512,26250000,0,lenovo
285,Core i3,15.6,12,2.0,0,512,15290000,0,lenovo
286,Core i5,15.6,16,4.0,0,1000,35100000,0,asus
288,Core i7,15.6,16,6.0,0,1000,63652000,0,msi
289,Ryzen 7,15.6,16,6.0,0,1000,51200000,0,lenovo
290,Core i5,15.6,8,2.0,1000,256,23000000,0,lenovo
291,Core i7,15.6,16,4.0,0,512,43970000,0,asus
293,Core i5,15.6,16,4.0,0,512,32000000,0,acer
294,Core i3,15.6,8,0.0,0,512,19618000,1,asus
295,M2,16.0,32,0.0,0,1000,168200000,1,apple
297,Core i5,15.6,8,4.0,0,512,36999000,0,msi
298,Core i5,15.6,16,4.0,0,512,43200000,0,lenovo
299,Ryzen 7,15.6,16,8.0,0,512,64390000,0,asus
300,Core i7,15.6,8,4.0,0,512,39500000,0,acer
302,Ryzen 7,16.0,32,8.0,0,1000,53500000,0,hp
303,Core i3,15.6,8,2.0,1000,256,16590000,0,acer
304,M2,13.6,8,0.0,0,256,59000000,1,apple
306,Core i7,15.6,16,4.0,0,1000,45171000,0,asus
307,Core i9,13.4,16,4.0,0,1000,90860023,0,asus
308,Core i5,15.6,16,2.0,0,512,31898000,0,asus
310,Core i7,15.0,16,6.0,0,1000,38900000,0,microsoft
311,Ryzen 7,15.6,16,6.0,0,512,53890000,0,dell
312,Core i7,13.5,16,4.0,0,256,52500000,0,microsoft
314,Core i5,15.6,16,4.0,1000,256,35588820,0,lenovo
315,Ryzen 7,14.0,16,4.0,0,512,56100000,0,asus
316,Core i7,16.1,16,4.0,0,512,44500000,0,hp
317,Core i7,14.0,16,2.0,0,1000,81940000,0,asus
318,Core i7,15.6,16,4.0,0,1000,38500000,0,acer
319,Core i7,15.0,32,6.0,0,1000,114400000,0,microsoft
320,Core i9,16.0,16,8.0,0,1000,55500000,0,asus
321,Core i7,15.6,16,4.0,0,512,48870000,0,asus
322,A6,13.3,4,512.0,0,256,9800000,0,other
323,Ryzen 7,15.6,16,6.0,0,1000,58666000,0,asus
325,Core i7,15.6,16,8.0,0,512,53350000,0,acer
326,Core i7,16.0,16,8.0,0,1000,88479000,0,asus
327,Ryzen 7,15.6,16,4.0,0,512,30000000,0,acer
330,Celeron,15.6,4,0.0,0,256,8910000,1,lenovo
331,Ryzen 7,15.6,16,6.0,0,1000,54800000,0,asus
332,Ryzen 7,15.6,16,6.0,0,512,58598000,0,asus
334,Core i5,15.6,8,4.0,0,512,39900000,0,acer
335,Core i7,13.9,16,2.0,0,1000,50000000,0,other
336,Core i7,15.6,16,6.0,512,512,45900000,0,asus
337,Core i5,13.5,8,0.0,0,256,21000000,1,microsoft
338,Core i5,14.0,8,4.0,0,4000,12900000,0,dell
339,Core i5,15.6,8,2.0,1000,256,22300000,0,acer
340,Core i7,13.0,16,0.0,0,1000,64300000,1,hp
342,Core i3,15.6,12,0.0,0,512,20000000,1,asus
343,Ryzen 5,16.1,16,4.0,0,512,32700000,0,hp
344,Ryzen 7,15.6,8,2.0,0,256,33499000,0,asus
345,Ryzen 5,15.6,8,0.0,0,1000,28599000,1,asus
346,Core i9,16.0,16,4.0,0,1000,59980000,0,apple
349,Core i7,14.0,16,4.0,0,1000,53799000,0,asus
350,Core i7,15.6,16,2.0,0,512,30600000,0,asus
351,Core i7,15.6,8,2.0,1000,256,32000000,0,lenovo
352,Core i3,15.6,8,0.0,0,256,16900000,1,asus
353,Ryzen 7,15.6,16,4.0,0,512,43450000,0,asus
354,Core i7,15.6,8,4.0,0,512,29400000,0,msi
355,Core i7,15.6,16,4.0,0,512,45200000,0,asus
357,Core i7,17.3,16,4.0,0,512,21500000,0,hp
360,Core i7,15.6,8,2.0,1000,1000,26190000,0,acer
361,Core i5,15.6,8,0.0,0,1000,32700000,1,asus
362,Core i7,15.6,12,2.0,0,512,29870000,0,asus
363,Core i7,13.5,32,4.0,0,1000,90000000,0,microsoft
364,Core i3,15.6,4,0.0,0,128,17299000,1,asus
365,Core i5,15.6,8,4.0,0,512,38797000,0,lenovo
368,Core i5,15.6,16,2.0,0,512,26700000,0,asus
369,M1,14.0,16,0.0,0,512,90450000,1,apple
370,Core i7,15.6,16,8.0,0,1000,90000000,0,other
371,Ryzen 5,15.6,8,2.0,0,256,27000000,0,hp
372,Core i5,14.0,8,0.0,0,256,35483000,1,lenovo
374,Core i3,15.6,12,2.0,1000,128,15199000,0,lenovo
375,Ryzen 7,15.6,16,0.0,512,512,27750000,1,asus
376,Core i7,15.0,16,6.0,0,512,39500000,0,msi
379,M2,13.6,8,0.0,0,512,69799000,1,apple
380,Core i7,15.6,16,4.0,512,512,28490000,0,dell
381,Ryzen 9,15.6,16,8.0,0,1000,88999000,0,asus
383,Core i7,15.6,32,6.0,0,1000,62226000,0,asus
384,Core i7,16.0,16,4.0,0,1000,48790000,0,hp
385,Ryzen 5,14.0,8,0.0,0,1000,29500000,1,asus
386,Core i7,14.4,32,4.0,0,2000,151300000,0,microsoft
387,Core i7,15.6,16,4.0,0,512,56879000,0,asus
388,Core i9,13.4,16,4.0,0,1000,152979000,0,asus
391,Core i5,17.3,16,6.0,0,512,49392000,0,asus
392,Core i7,16.0,32,6.0,0,2000,69688820,0,lenovo
393,Core i7,14.0,8,1.0,256,256,9200000,0,lenovo
394,Core i7,15.6,16,6.0,0,1000,55000000,0,asus
395,Ryzen 5,15.6,16,4.0,0,1000,47900000,0,lenovo
396,Core i7,15.6,12,2.0,1000,1000,26841000,0,lenovo
397,Core i5,15.6,8,2.0,1000,128,24500000,0,lenovo
399,Core i7,15.6,32,4.0,1000,512,28000000,0,hp
400,Core i7,15.6,16,6.0,0,1000,63500000,0,msi
401,Core i9,16.0,16,12.0,0,1000,166290000,0,asus
402,Ryzen 9,14.0,16,12.0,0,1000,268979000,0,asus
403,Core i7,15.6,32,8.0,0,2000,65012300,0,asus
