stock_status,cpu,screen_size,ram,graphic_ram,hdd,ssd
new,Core i7,15.6 inch,16 gb,4 gb,,1 tb
new,Core i7,15.6 inch,12 gb,2 gb,1 tb,256 gb
new,Core i9,17 inch,,,,1 tb
new,Core i5,15.6 inch,16 gb,4 gb,,512 gb
new,Core i7,15.6 inch,16 gb,6 gb,,1 tb
new,Core i7,14 inch,16 gb,4 gb,,1 tb
new,Core i7,14 inch,16 gb,4 gb,,
new,Core i7,15.6 inch,16 gb,6 gb,,1 tb
new,Core i9,15 inch,16 gb,4 gb,,512 gb
new,Core i5,15.6 inch,8 gb,4 gb,1 tb,256 gb
new,Core i7,14 inch,16 gb,unified,,512 gb
new,Core i7,15.6 inch,8 gb,2 gb,,512 gb
new,Core i5,17.3 inch,8 gb,2 gb,,1 tb
new,Ryzen 7,17.3 inch,16 gb,4 gb,,1 tb
new,Core i7,15.6 inch,8 gb,2 gb,,256 gb
new,Core i5,15.6 inch,8 gb,unified,,512 gb
new,Core i5,15.6 inch,16 gb,4 gb,,1000 gb
new,Core i9,17 inch,64 gb,16 gb,,4 tb
new,Core i5,15.6 inch,16 gb,unified,,512 gb
new,Core i5,15.6 inch,16 gb,8 gb,,1 tb
new,M2,16 inch,64 gb,unified,,1 tb
new,Core i5,15.6 inch,8 gb,4 gb,,1 tb
new,Core i7,15.6 inch,32 gb,6 gb,,2 tb
new,Core i7,17.3 inch,16 gb,4 gb,1 tb,128 gb
new,Core i5,15.6 inch,16 gb,4 gb,,512 gb
new,Core i5,15.6 inch,16 gb,4 gb,,1 tb
new,Core i3,15.6 inch,8 gb,2 gb,,256 gb
new,Core i9,17.3 inch,64 gb,16 gb,,2 tb
new,Core i7,15.6 inch,32 gb,unified,,1 tb
new,M1,16 inch,64 gb,unified,,4 tb
new,Core i9,17.3 inch,16 gb,8 gb,,1 tb
new,Ryzen 5,16 inch,16 gb,4 gb,,512 gb
new,Core i5,15.6 inch,16 gb,4 gb,,1 tb
new,Core i5,15.6 inch,16 gb,2 gb,,512 gb
new,Core i7,13.3 inch,16 gb,unified,,512 gb
new,Core i7,13 inch,16 gb,2 gb,,512 gb
new,Core i7,13.3 inch,16 gb,unified,,1 tb
new,Ryzen 7,15.6 inch,16 gb,8 gb,,512 gb
new,Ryzen 7,15.6 inch,8 gb,2 gb,,512 gb
new,Core i7,16 inch,32 gb,6 gb,,1 tb
new,Ryzen 9,16 inch,32 gb,16 gb,,2 tb
new,Ryzen 9,14 inch,32 gb,16 gb,,1 tb
new,Core i7,13.4 inch,16 gb,unified,,1 tb
